timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1706734833636,225,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,225,0,71
1706734833639,222,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,222,0,70
1706734833639,232,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,232,0,76
1706734833720,219,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,219,0,66
1706734833805,235,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,235,0,83
1706734833810,230,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,230,0,80
1706734833816,227,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1288,10,10,227,0,68
1706734833808,235,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,235,0,75
1706734833806,237,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,237,0,85
1706734833810,233,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,233,0,80
1706734833862,227,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,227,0,75
1706734833862,227,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,227,0,76
1706734833871,241,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1288,10,10,241,0,78
1706734833940,223,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,223,0,70
1706734834044,223,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,223,0,72
1706734834040,231,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,231,0,76
1706734834044,227,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,227,0,79
1706734834041,233,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,233,0,79
1706734834044,230,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,230,0,76
1706734834044,230,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,230,0,79
1706734834089,218,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,218,0,66
1706734834089,224,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,224,0,69
1706734834113,222,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,222,0,70
1706734834164,221,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,221,0,71
1706734834272,225,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,225,0,73
1706734834267,230,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,230,0,73
1706734834272,225,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,225,0,71
1706734834274,224,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,224,0,71
1706734834275,237,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,237,0,79
1706734834274,238,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,238,0,81
1706734834313,221,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,221,0,67
1706734834308,233,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,233,0,72
1706734834335,236,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,236,0,80
1706734834385,230,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,230,0,75
1706734834498,233,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,233,0,78
1706734834497,234,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,234,0,78
1706734834497,236,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,236,0,82
1706734834514,225,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,225,0,69
1706734834497,242,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1288,10,10,242,0,82
1706734834514,235,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,235,0,78
1706734834534,225,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,225,0,68
1706734834542,224,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,224,0,68
1706734834571,222,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,222,0,70
1706734834615,224,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,224,0,72
1706734834734,233,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,233,0,82
1706734834732,235,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,235,0,81
1706734834740,227,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,227,0,72
1706734834732,235,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,235,0,80
1706734834740,229,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,229,0,75
1706734834750,225,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,225,0,68
1706734834760,228,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,228,0,72
1706734834767,226,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,226,0,73
1706734834794,226,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,226,0,69
1706734834840,230,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,230,0,74
1706734834967,229,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,229,0,75
1706734834970,231,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,231,0,82
1706734834967,234,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,234,0,77
1706734834967,237,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,237,0,82
1706734834976,228,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,228,0,74
1706734834967,240,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,240,0,82
1706734834989,226,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,226,0,67
1706734834994,224,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,224,0,71
1706734835020,231,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,231,0,73
1706734835071,225,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,225,0,72
1706734835196,221,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,221,0,62
1706734835201,222,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,222,0,71
1706734835207,221,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,221,0,65
1706734835201,227,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,227,0,76
1706734835204,229,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,229,0,72
1706734835204,232,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,232,0,78
1706734835218,220,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,220,0,67
1706734835215,223,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1288,10,10,223,0,67
1706734835252,221,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,221,0,67
1706734835296,230,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,230,0,74
1706734835428,217,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1288,10,10,217,0,65
1706734835423,225,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,225,0,71
1706734835417,231,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,231,0,69
1706734835428,243,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,243,0,88
1706734835434,239,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,239,0,83
